7cda2790-c9d6-41cd-9ec0-d4db61addb17,Le Bleu By K Club,5.0,Seafood,500000.0,Badung,"Ji. Nusa Dua Lot C-01 ITDC Area, Nusa Dua, Benoa 80363 Indonesia"
b7587d99-ca04-4ddd-bf0c-36b562566f6e,The Cave Bali By Chef Ryan Clift,4.0,International,500000.0,Badung,"Jl. Pura Goa Lempeh Banjar Dinas Kangin, Uluwatu, Pecatu 80361 Indonesia"
03839f12-cf2f-4399-893b-3435d387766d,Sakura Japanese Restaurant,5.0,Japanese,500000.0,Badung,"Kawasan Pariwisata Lot. 1, Nusa Dua, Benoa 80363 Indonesia"
2daa7efb-da15-410a-8f79-e18de415d801,Omma Bali,4.5,Japanese,300000.0,Gianyar,"Kemenuh, Sukawati 80581 Indonesia"
395080c2-7310-4095-8853-7a013dd42649,Nelayan Restaurant & Puri Bar,4.5,Bar,300000.0,Badung,"Jalan Raya Uluwatu Jalan Yoga Perkanthi Jimbaran Puri, Jimbaran 80361 Indonesia"
6e0d882d-4593-45bd-91be-d11c8bd43208,Amok Sunset Bar And Restaurant,4.5,International,300000.0,Klungkung,"Gamat Bay, Sakti 80771 Indonesia"
ff22ba98-119b-4a52-b4ad-f4c32d883104,Seasalt,5.0,Seafood,500000.0,Badung,"Jl. Taman Ganesha no. 9 Petitenget, Seminyak 80361 Indonesia"
3e00de84-a33d-4b9e-802a-ddaa9493c1b7,Sukun Restaurant Nusa Dua,5.0,Asian,300000.0,Badung,"Jl. Pratama No.87, Tanjung Benoa 80363 Indonesia"
c5276cfb-56bf-4fec-b348-edc197e6f064,Poppies Restaurant,4.5,International,300000.0,Badung,"Poppies Lane 1 / 19 Jalan Legian, Kuta 80361 Indonesia"
a4fbf92c-0c6a-4efa-b2c5-31f2eeb73137,Restaurant Bukit Segara,5.0,Seafood,300000.0,Karangasem,"Jl. Raya Bunutan Villa Bukit Segara, Karangasem 80852 Indonesia"
56b41f32-7442-4453-9ebb-4832bd5277c9,The Grumpy Butcher,5.0,Steakhouse,300000.0,Badung,"Jl. Petitenget No.21A, Kerobokan 80361 Indonesia"
96f2bf70-2da3-4c99-8871-97a849cdb22f,Ganesh Lodge,5.0,European,300000.0,Karangasem,"Jl. Puri Bagus, Candidasa, Karangasem 80851 Indonesia"
