name,rating,price_wna,city
dâprimahotel Seminyak,4.15,972000.0,Badung
Asoka City Bali,4.0,390000.0,Badung
Amnaya Resort Kuta,4.5,2871489.0,Badung
Prime Plaza Suites Sanur â Bali,4.3,1741300.0,Denpasar
Yan's House Hotel,4.5,2975000.0,Badung
Artotel Haniman Ubud,4.5,1887717.0,Gianyar
InterContinental Hotels BALI RESORT,4.45,5145998.0,Badung
Segara Village Hotel,4.35,1839165.0,Denpasar
Puri Saron Seminyak,4.15,2880000.0,Badung
KajaNe Yangloni at Ubud Bali,4.55,1784500.0,Gianyar
The Leaf Jimbaran Luxury Villas,4.15,4725000.0,Badung
Aria Exclusive Villa & Spa,4.4,3600000.0,Badung
Maya Ubud Resort & Spa,4.45,15622149.0,Gianyar
Legian Beach Hotel,4.2,3082556.0,Badung
Bali Golden Elephant,3.95,540000.0,Badung
BALQUISSE Heritage Hotel,4.5,1620000.0,Badung
Adhi Jaya Hotel,4.35,1854000.0,Badung
ibis Bali Legian Street,4.3,696960.0,Badung
Kampi Villas by Premier Hospitality Asia,3.8,6120000.0,Badung
Inna Sindhu Beach Hotel & Resort,4.3,1197000.0,Denpasar
Bintang Kuta Hotel,4.35,1530000.0,Badung
Odika Lovina House and Villas,4.3,1472500.0,Buleleng
Kampung Cenik,4.45,728333.0,Badung
Ananta Legian Hotel,4.0,625050.0,Badung
Bali Mandira Beach Resort & Spa,4.15,5890000.0,Badung
Ramayana Suites & Resort,4.3,1710000.0,Badung
Keraton Jimbaran Resort,4.15,780079.0,Badung
Melasti Kuta Bungalows and Spa,3.95,850000.0,Badung
Serela Legian by KAGUM Hotels,4.2,454500.0,Badung
Villa Harmony Residence,4.0,2940000.0,Badung
Wirton Seminyak Boutique Hotel,4.15,468000.0,Badung
Goya Boutique Resort,4.4,6850994.0,Gianyar
OYO 1654 Maha Bharata Kuta Inn,3.9,357452.0,Badung
Grand La Walon Hotel,4.35,630000.0,Badung
Beautiful Bali Villas,4.3,3120300.0,Badung
Bali Rani Hotel,4.3,2250000.0,Badung
Lasanti Villas and Spa Seminyak,4.45,2936000.0,Badung
Kuta Central Park Hotel,4.15,1794000.0,Badung
Jas Boutique Villas,4.25,4095000.0,Badung
Coco De Heaven,4.05,450000.0,Badung
The Magani Hotel and Spa,4.25,1455345.0,Badung
Kubu GWK Resort,4.4,1755000.0,Badung
Wina Holiday Villa Kuta Bali,4.15,917563.0,Badung
Gending Kedis Luxury Villas & Spa Estate,4.35,11340000.0,Badung
Nesa Sanur,4.15,710285.0,Denpasar
Argya Santi Resort,4.35,660000.0,Badung
Rantun's Place,4.0,836104.0,Badung
Tropico Jimbaran Bali,4.4,323760.0,Badung
Peppers Seminyak,4.15,15246000.0,Badung
Taman Harum Cottages,4.1,1759500.0,Gianyar
Mutiara Bali Boutique Resort Villas and Spa,4.4,1811350.0,Badung
OYO 1200 Kencana Residence,4.15,257643.0,Badung
The Hill Ungasan Bukit Jimbaran,4.15,630000.0,Badung
Karang Lila Bhuana Ubud,4.65,682521.0,Gianyar
The Alantara Sanur,4.4,1362060.0,Denpasar
Destiny Boutique Hotel,4.2,1449459.0,Badung
OYO 2184 Nan Berlian Inn,3.5,228042.0,Badung
Tanadewa Resort & Spa Ubud,4.35,3972152.0,Gianyar
Dinara Ubud,4.4,2923044.0,Gianyar
The Awan Villas,4.3,4652458.0,Badung
Alam Kulkul Boutique Resort,4.2,1783710.0,Badung
"Abian Srama Hotel, Massage And Spa",3.75,173333.0,Denpasar
Astagina Resort Villa and Spa,4.2,3402936.0,Badung
Pondok Anyar Hotel,4.0,517500.0,Badung
Nata Ubud,4.2,1440000.0,Gianyar
The Bandha Hotel & Suites,4.45,5687147.0,Badung
Hotel Terrace at Kuta,4.35,757052.0,Badung
Kutus Kutus Mas Ubud Villa,4.55,1098000.0,Gianyar
Vico Hotel,3.85,178860.0,Badung
SenS Hotel and Spa,4.45,1913151.0,Gianyar
Atta Mesari Ubud,4.25,3285799.0,Gianyar
Anja Jimbaran,4.3,1850980.0,Badung
The Pari Sudha,4.35,1554798.0,Gianyar
Natya Tanah Lot,4.45,1826532.0,Tabanan
The Niche Bali,4.15,440000.0,Badung
Samana Residence Denpasar,4.15,390000.0,Denpasar
Fourteen Roses Boutique Hotel Kuta,4.05,810000.0,Badung
Fourteen Roses Boutique Hotel Kuta,4.05,810000.0,Badung
Sunrise Hotel Sanur,3.75,378000.0,Denpasar
M BOX SEMINYAK,4.3,133333.0,Badung
Yulia Beach Inn Kuta,4.3,994500.0,Badung
Villa Puri Ayu,4.25,983367.0,Denpasar
The Nani,4.2,1668000.0,Gianyar
Nirmala Hotel Jimbaran,3.75,554400.0,Badung
Eden The Residence,4.4,11262627.0,Badung
Zest Legian by Swiss-Belhotel International,4.5,606667.0,Badung
Alindra Villa,4.2,2610000.0,Badung
La Cabane Bali,4.6,3510000.0,Badung
Adi Dharma Hotel Kuta,4.25,1020000.0,Badung
Cicada Luxury Townhouses,4.3,4207536.0,Badung
OYO 90291 Vin Stay Petanu,3.7,499255.0,Denpasar
Amadea Resort & Villas Seminyak Bali,4.3,5272307.0,Badung
Adikara Renon,4.2,371565.0,Denpasar
The Bali Dream Villa Seminyak,4.4,3793724.0,Badung
Home 21 Bali,4.25,1091426.0,Denpasar
The Salila Beach Resort Seminyak Bali,4.5,3150000.0,Badung
Ossotel Legian,4.45,2045188.0,Badung
Kak Garden Inn,4.35,340000.0,Badung
The Kanjeng Hotel Kuta,2.8,269304.0,Badung
Restu Bali Hotel,4.2,141067.0,Badung
The Alley City Hotel,4.15,320000.0,Denpasar
The Bale Villas Nusa Dua,4.25,8419500.0,Badung
Matahari House,4.1,450000.0,Badung
The Haere â By Astadala,4.1,2700000.0,Badung
Rama Residence Padma,4.45,3057933.0,Badung
Ila Villa Ubud,4.3,696667.0,Gianyar
Febri's Hotel & Spa,4.4,795340.0,Badung
Hotel Vila Lumbung,4.05,1170000.0,Badung
Villa Mandi Ubud,4.15,1745000.0,Gianyar
Swahita Ubud,4.4,1339255.0,Gianyar
Bali Summer Hotel,3.85,560461.0,Badung
Amalfi Hotel Seminyak,4.3,824367.0,Badung
OYO 1433 Homestay Rumahku,3.9,353844.0,Badung
Taman Ayu 212,4.3,411667.0,Denpasar
Cattleya Pool Suite - Seminyak by Marbella,4.2,1235000.0,Badung
Legian Paradiso Hotel,4.0,619230.0,Badung
Suites by Watermark Hotel and Spa,4.5,3070010.0,Badung
The Aromas of Bali Hotel & Residence,3.8,434380.0,Badung
Visesa Ubud Resort,4.45,3904251.0,Gianyar
Arana Suite,4.5,2329200.0,Badung
Dea Graha,4.05,226667.0,Denpasar
Taksu Nusa Dua Guest House,4.15,300000.0,Badung
OYO 1848 TB'S Homestay,3.9,298959.0,Denpasar
My Home @ Bali by Conary,4.2,294000.0,Badung
Nugraha Lovina Seaview Resort and Spa,4.4,1852500.0,Buleleng
Collection O 91125 Puri Dewa Bharata,3.5,251674.0,Badung
The Seiryu Boutique Villas,4.4,4636979.0,Badung
SPOT ON 2426 Hotel Aget Jaya Ii,3.7,124137.0,Denpasar
Kimono Hotel,3.55,337500.0,Badung
Agata Villas,3.65,9161796.0,Badung
Puri Bali Lovina,4.25,753333.0,Buleleng
Vije Boutique Resort and Spa,4.4,1900000.0,Gianyar
Kejora Suites,3.7,2580000.0,Denpasar
Core Hotel Benoa,4.25,631800.0,Badung
Hotel Segara Mandala,3.85,337500.0,Jembrana
Bali Caps Hostel,4.5,146667.0,Badung
Seminyak Square Hotel,4.25,1652000.0,Badung
Arkamara Dijiwa Ubud,4.45,6792831.0,Gianyar
Ubud Lestari Villa,4.4,1198471.0,Gianyar
Lumbini Luxury Villas and Spa,4.4,2747965.0,Badung
Hotel Puriartha Ubud,4.2,749999.0,Gianyar
Pondok Sari Hotel,4.25,675000.0,Badung
Three Brothers Guest House,4.6,333334.0,Gianyar
Akana Boutique Hotel,4.35,1593568.0,Denpasar
Meruhdani Boutique Hotel Ubud,4.45,719040.0,Gianyar
Hotel Melamun Lovina,4.45,562500.0,Buleleng
Sanur Seaview Hotel,3.85,662400.0,Denpasar
Samudra Boutique Hotel and Villa,4.0,240964.0,Badung
Sun Island Hotel & Spa Legian,4.25,1639800.0,Badung
The Kryamaha Villas,4.4,2903987.0,Tabanan
The Kryamaha Villas,4.4,2903987.0,Tabanan
Pondok Dukuh Jati,4.1,200000.0,Badung
The Sesari Jimbaran,4.1,367200.0,Badung
Uma Mani Villa,4.3,600000.0,Badung
The Lokha Legian Resort & Spa,4.3,1645600.0,Badung
Arimba at Bisma,3.95,585000.0,Gianyar
Hotel Oranjje,3.8,417083.0,Denpasar
Casa Padma Suites Bali,4.1,1329975.0,Badung
Wahyu Dana Hotel,4.1,420000.0,Buleleng
Sativa Sanur Cottages,4.0,840000.0,Denpasar
Hotel Karthi,4.2,266333.0,Badung
The Kasih Villas & Spa,4.4,3141763.0,Badung
Annora Villas Sanur,4.6,5318774.0,Denpasar
Hana Kuta Beach,4.2,405000.0,Badung
Kampung 168 Jimbaran,4.1,637192.0,Badung
Anantara Seminyak Resort & Spa,4.15,7850765.0,Badung
Dewi Sinta Hotel and Restaurant by Wizzela,4.2,430312.0,Tabanan
Puspa Graha Villatel,4.15,337500.0,Badung
New Garden View Resort,4.15,438518.0,Badung
Villa Bebek Cottages Sanur,4.7,1020000.0,Denpasar
Legian Village Hotel,3.8,918915.0,Badung
Pelangi Bali Hotel & Spa,4.05,3300000.0,Badung
Legian Bisma Suite,4.35,407333.0,Badung
Rai House Sanur,4.35,240000.0,Denpasar
Suryadina Guest House,4.3,380000.0,Gianyar
Ubud Nyuh Bali Resort & Spa,4.45,6786847.0,Gianyar
The Wolas Villas & Spa,4.4,4971285.0,Badung
AQ-VA Hotel & Villas,4.3,953841.0,Badung
Villa Ombak Kedungu,4.25,400000.0,Tabanan
Amatara Arya Ubud,4.55,1662001.0,Gianyar
Sanur Guest House,3.95,339999.0,Denpasar
Kubu Cempaka Seminyak,4.45,2029999.0,Badung
Sanur Guest House,3.95,339999.0,Denpasar
Honai Resort,4.4,5200000.0,Gianyar
Abi Bali Resort Villas and Spa,4.25,3432800.0,Badung
Uma Emas Residence,3.7,225904.0,Denpasar
The Nyaman Bali,4.35,532000.0,Badung
Harmony Beach Suite,4.0,1125000.0,Badung
Aneka Lovina Villas & Spa,4.25,978750.0,Buleleng
Wapa di Ume Resort & Spa,4.5,4230000.0,Gianyar
Alam Pangkung Ubud,4.0,450000.0,Gianyar
Jukung Guest House,4.45,450000.0,Denpasar
NEW Alron Hotel Kuta,4.2,424284.0,Badung
The Kirana Ungasan,4.4,1368745.0,Badung
Ubud Tropical,4.35,168000.0,Gianyar
Bali Kuwi Hotel,4.15,235293.0,Jembrana
Radha Phala Resort & Spa,4.45,1516500.0,Gianyar
Rena Segara House,4.05,310644.0,Badung
Tanjung Sari Inn,4.05,447059.0,Badung
Desamuda Village,4.45,2241000.0,Badung
The Pavilion Hotel Kuta,4.2,306000.0,Badung
THE VILLAGE HOME,4.35,468000.0,Denpasar
Nakula Guest House,4.3,270000.0,Badung
OYO 90053 Paradise Inn,4.35,209960.0,Badung
Wayan Mansion,4.25,264000.0,Denpasar
Villa Tangtu Beach Inn,3.85,1260000.0,Denpasar
Aurora House Ubud,4.1,254032.0,Gianyar
The Unique Homestay,4.25,203251.0,Gianyar
Nakula Stay Kuta,4.25,500000.0,Badung
Jati Hotel Negara,4.1,159600.0,Jembrana
Bali Chaya Hotel,4.25,531863.0,Badung
Bali Bhuana Beach Cottage,4.5,486982.0,Karangasem
The Mutiara Jimbaran Boutique Villas,4.3,4215671.0,Badung
Hotel Ratu,3.9,310000.0,Jembrana
VIDI Boutique Hotel,4.4,741000.0,Badung
OYO 90363 Nira Guest House Sanur Bali,3.5,119242.0,Denpasar
Bali Breezz Hotel,4.4,1140000.0,Badung
Sapta Petala,4.3,432429.0,Badung
Aleesha Villas,4.2,3147685.0,Denpasar
Disini Luxury Spa Villas,4.35,3777777.0,Badung
OYO 1741 Komala Indah Cottages,3.45,198146.0,Badung
Mahatma Residence,4.05,438000.0,Denpasar
Sindhu Mertha Suite,4.0,4250000.0,Denpasar
Blu-Zea Resort by Double-Six,4.35,2442630.0,Badung
Royal Casa Ganesha Resort & Spa,4.25,1786000.0,Gianyar
OYO 90817 Elite Star Tukad Badung,3.75,157136.0,Denpasar
Matahari Bungalow,4.0,622618.0,Badung
Abia Villa Legian,4.6,3321464.0,Badung
OYO 2122 Puri Sanur,3.9,259647.0,Denpasar
OYO 3902 Pondok 828 Residence,3.7,258488.0,Denpasar
Bali Bungalo,4.0,689067.0,Badung
Ganggas Homestay,4.15,208049.0,Badung
Teba House Ubud by ecommerceloka,4.1,289080.0,Gianyar
Hotel Griya Ayu Inn Sanur,4.25,332179.0,Denpasar
Made Giri Homestay,4.25,240963.0,Denpasar
Bali Taman Beach Resort & Spa Lovina,4.25,1659421.0,Buleleng
Palm Beach Hotel Bali,4.1,425000.0,Badung
The Rani Garden Bed & Breakfast,4.25,652500.0,Denpasar
Three Brothers Bungalows and Villas,4.3,1260000.0,Badung
Di Uma Residence Hotel & Dormitory,4.15,101204.0,Denpasar
The VinHill Studio Bali Apartment,4.2,400000.0,Denpasar
OYO 3190 Pondok Putra Bersaudara,3.4,143638.0,Denpasar
Angsoka Hotel,4.25,234333.0,Buleleng
AB Kuta Hotel,4.35,569600.0,Badung
Budhi Kuta Beach Inn,3.8,190000.0,Badung
Balangan Inn,3.95,190000.0,Badung
The Janan Villa,4.15,800001.0,Denpasar
Awan Bali House,4.45,540000.0,Gianyar
Purana Boutique Resort,4.6,1500000.0,Gianyar
Hotel Kumala Pantai,4.35,1457592.0,Badung
Klumpu Bali Resort,4.4,2719702.0,Denpasar
Svarna Hotel Sanur,3.8,420000.0,Denpasar
Kuta Sari House,4.1,450000.0,Badung
Serela Kuta by KAGUM Hotels,4.15,355500.0,Badung
SEAHOUSE BALI INDAH BEACH INN,4.5,450000.0,Badung
The Sintesa Residence Jimbaran,4.05,4664901.0,Badung
Sri Phala Resort & Villa,4.25,1033975.0,Denpasar
Bumi Ayu Bungalows - CHSE Certified,3.8,565020.0,Denpasar
Agung Alit Guest House,4.35,190000.0,Gianyar
New Asta Graha,4.2,380000.0,Badung
Kusuma House,4.0,200933.0,Badung
Muaya Villa,4.35,1200000.0,Badung
The Legian 777,3.7,194793.0,Badung
City Garden Bali Dwipa Hotel,4.3,361932.0,Badung
Cempaka Losmen,3.65,160000.0,Badung
Maha Rama Suite Amed,4.0,765000.0,Karangasem
Kahayana Suites,4.35,1157000.0,Gianyar
Villa JJ and Spa Ubud,4.4,530909.0,Gianyar
Ubud Glassy Villas by Pramana Villas,4.4,1186823.0,Gianyar
Kubu Benoa Guest House,4.8,600000.0,Badung
The Kutaya Guest House,4.1,312862.0,Badung
Rama Beach Resort & Villas,4.3,3297619.0,Badung
Ubud 18,4.0,240000.0,Gianyar
Taman Agung Hotel,4.2,926922.0,Denpasar
Soraya Apartment,4.15,466667.0,Badung
OYO 1762 Hotel Astiti Graha Tanah Lot,3.5,179485.0,Tabanan
Jangkrik Homestay,4.25,226667.0,Gianyar
Rahayu Guest House Ubud,4.6,215648.0,Gianyar
Bendesa Accomodation,3.65,357143.0,Badung
Swastika Guest House,3.95,466668.0,Denpasar
Fourteen Roses Beach Hotel,3.95,610517.0,Badung
The Garden Villa,4.15,797333.0,Denpasar
Amed Lodge by Sudamala Resorts,4.3,1046900.0,Karangasem
Risata Bali Resort & Spa,4.2,880000.0,Badung
Suma Beach Hotel,3.95,324000.0,Buleleng
XOXO Kuta Legian Hostel,4.1,278400.0,Badung
Sariqu House,4.35,223940.0,Badung
Bali Eco Living Dormitory,3.9,102000.0,Denpasar
Denays Guest House Jimbaran,3.8,404806.0,Badung
Puri Naga Beachfront Cottages,3.8,1696428.0,Badung
Yulia 2 Homestay Sanur Guesthouse,4.0,413333.0,Denpasar
Abyan Guest House,3.8,349333.0,Denpasar
Surf Doggie Inn,4.15,145667.0,Badung
Dolphin Beach Bali,4.0,1881322.0,Buleleng
