hotel_name,original_price,price_after_discount,tax,rating,location
Hotel Dafam Savvoya Seminyak,1099156,754540,Inclusive of taxes,8.4,Seminyak
The Lerina Hotel Nusa Dua,945000,472500,Inclusive of taxes,8.5,Nusa Dua
Four Star by Trans Hotel,760000,524400,Inclusive of taxes,8.4,Denpasar
Bali Dynasty Resort,2097144,1321201,Inclusive of taxes,8.6,Badung
Wyndham Garden Kuta Beach Bali,1032000,774000,Inclusive of taxes,8.1,Badung
Hotel Santika Siligita Nusa Dua,1166667,875000,Inclusive of taxes,8.5,Nusa Dua
Sheraton Bali Kuta Resort,3468667,2601500,Inclusive of taxes,8.8,Badung
Tribe Bali Kuta Beach,1637857,1228393,Inclusive of taxes,9.1,Badung
Kaisa Villas Seminyak,2450000,1715000,Inclusive of taxes,8.8,Seminyak
Novotel Bali Nusa Dua - Hotel & Residences,1902120,1426590,Inclusive of taxes,8.5,Nusa Dua Beach
Danoya Villa Seminyak,3663000,2380950,Inclusive of taxes,8.7,Seminyak
Grand Palace Hotel Sanur - Bali,1035000,621000,Inclusive of taxes,8.7,Sanur
HARRIS Hotel and Conventions Denpasar Bali,568000,397600,Inclusive of taxes,8.5,North Denpasar
THE 1O1 Bali Oasis Sanur,1492000,1119000,Inclusive of taxes,8.5,Sanur
HARRIS Hotel Kuta Tuban Bali,973333,730000,Inclusive of taxes,8.4,Tuban
M̦venpick Resort and Spa Bali,3285734,2464300,Inclusive of taxes,8.8,Jimbaran
Kuta Paradiso Hotel,2240000,907200,Inclusive of taxes,8.4,Badung
Diamond Hotel Kuta Bali,783000,626400,Inclusive of taxes,8.2,Badung
Hotel Santika Seminyak,985000,492500,Inclusive of taxes,8.7,Seminyak
Hyatt Regency Bali,3201881,2401411,Inclusive of taxes,8.7,Sanur
Villa Kayu Raja,4130995,1528468,Inclusive of taxes,8.6,Seminyak
Pullman Bali Legian Beach,2420000,1815000,Inclusive of taxes,8.3,Legian
Bintang Bali Resort,2124000,1146960,Inclusive of taxes,8.6,Badung
Amaris Hotel Pratama Nusa Dua,500000,375000,Inclusive of taxes,8.0,Nusa Dua
The Ritz-Carlton Bali,6292000,4719000,Inclusive of taxes,8.8,Nusa Dua Beach
The Patra Bali Resort & Villas,1782000,1069200,Inclusive of taxes,8.8,Badung
favehotel Sunset Seminyak,816480,612360,Inclusive of taxes,8.5,Seminyak
Melia Bali,2607669,2346902,Inclusive of taxes,8.9,Nusa Dua Beach
THE 1O1 Bali Fontana Seminyak,1733333,1300000,Inclusive of taxes,8.6,Legian
Hotel Indigo BALI SEMINYAK BEACH,5096637,3822516,Inclusive of taxes,9.0,Seminyak
Mamaka by Ovolo,1911714,1312243,Inclusive of taxes,8.9,Badung
The Trans Resort Bali,3450000,2587500,Inclusive of taxes,9.0,Seminyak
The Nest Hotel Nusa Dua,1080000,777600,Inclusive of taxes,8.8,Tanjung Benoa
Plataran Canggu Resort and Spa,5717250,3201660,Inclusive of taxes,8.8,Canggu
Grand Whiz Hotel Nusa Dua,1164500,675410,Inclusive of taxes,8.5,Nusa Dua Beach
Swiss-Belresort Watu Jimbar,1180000,843700,Inclusive of taxes,8.6,Sanur
Hilton Garden Inn Bali Ngurah Rai Airport,1116250,893000,Inclusive of taxes,8.5,Tuban
VOUK Hotel & Suites,1570000,1161800,Inclusive of taxes,8.2,Nusa Dua Beach
Lloyd's Inn Bali,1959404,1345049,Inclusive of taxes,8.6,Seminyak
Courtyard by Marriott Bali Seminyak Resort,2662000,1996500,Inclusive of taxes,9.0,Seminyak
