hotel_name,original_price,price_after_discount,tax,rating,location
Collection O 91300 Sunny Side Villa,304486,237499,Inclusive of taxes,,Seminyak
Kutus Kutus Mas Ubud Villa,1098000,549000,Inclusive of taxes,9.1,Ubud
Aniniraka Resort And Spa,835248,765000,Inclusive of taxes,8.5,Sayan
Vico Hotel,178860,134145,Inclusive of taxes,7.7,Tanjung Benoa
Segara Sadhu Inn Kuta,270000,118800,Inclusive of taxes,8.0,Poppies
SenS Hotel and Spa,1913151,1412763,Inclusive of taxes,8.9,Ubud
Atta Mesari Ubud,3285799,1642900,Inclusive of taxes,8.5,Ubud
Anja Jimbaran,1850980,1499294,Inclusive of taxes,8.6,Jimbaran
The Pari Sudha,1554798,932879,Inclusive of taxes,8.7,Ubud
Natya Tanah Lot,1826532,1187246,Inclusive of taxes,8.9,Tanah Lot
Manta Cottage Sea View Plus,1000000,750000,Inclusive of taxes,8.4,Nusa Penida
Tira Vilagna Suites & Spa,7830000,5872500,Inclusive of taxes,9.4,Kintamani
The Niche Bali,440000,330000,Inclusive of taxes,8.3,Legian
Samana Residence Denpasar,390000,292500,Inclusive of taxes,8.3,Denpasar
The Akasha Boutique Hotel,3291861,3015001,Inclusive of taxes,,Seminyak
Fourteen Roses Boutique Hotel Kuta,810000,518400,Inclusive of taxes,8.1,Legian
Fourteen Roses Boutique Hotel Kuta,810000,518400,Inclusive of taxes,8.1,Legian
The Tiing Tejakula Villas,1951200,1463400,Inclusive of taxes,8.7,Tejakula
Sunrise Hotel Sanur,378000,189000,Inclusive of taxes,7.5,Sanur
M BOX SEMINYAK,133333,100000,Inclusive of taxes,8.6,Seminyak
OYO 1670 Likko Inn,282831,220608,Inclusive of taxes,7.9,North Denpasar
Avani Seminyak Bali Resort,2747959,2335765,Inclusive of taxes,,Seminyak
Yulia Beach Inn Kuta,994500,358020,Inclusive of taxes,8.6,Badung
Chillin Kuta Homestay,215552,191841,Inclusive of taxes,8.3,Tuban
Villa Puri Ayu,983367,577089,Inclusive of taxes,8.5,Sanur
The Nani,1668000,1251000,Inclusive of taxes,8.4,Ubud
Nirmala Hotel Jimbaran,554400,230076,Inclusive of taxes,7.5,Jimbaran
Eden The Residence,11262627,7899468,Inclusive of taxes,8.8,Seminyak
Zest Legian by Swiss-Belhotel International,606667,455000,Inclusive of taxes,9.0,Legian
Airis Luxury Villas & Spa,2600000,1716000,Inclusive of taxes,8.4,Ungasan
Alindra Villa,2610000,1539900,Inclusive of taxes,8.4,Jimbaran
Hotel Sentral Bali,196267,147200,Inclusive of taxes,7.8,Singaraja
La Cabane Bali,3510000,2632500,Inclusive of taxes,9.2,Jimbaran
Adi Dharma Hotel Kuta,1020000,663000,Inclusive of taxes,8.5,Badung
MATHIS Retreat,2842609,2131957,Inclusive of taxes,,Kedewatan
Cicada Luxury Townhouses,4207536,3671999,Inclusive of taxes,8.6,Seminyak
OYO 90291 Vin Stay Petanu,499255,389419,Inclusive of taxes,7.4,Denpasar
Amadea Resort & Villas Seminyak Bali,5272307,3427000,Inclusive of taxes,8.6,Seminyak
Adikara Renon,371565,182067,Inclusive of taxes,8.4,Denpasar
Kedin's Inn,330000,247500,Inclusive of taxes,8.3,Poppies
The Bali Dream Villa Seminyak,3793724,2835002,Inclusive of taxes,8.8,Seminyak
Home 21 Bali,1091426,545713,Inclusive of taxes,8.5,Sanur
The Salila Beach Resort Seminyak Bali,3150000,2520000,Inclusive of taxes,9.0,Seminyak
Ramayana Candidasa,3893750,1199275,Inclusive of taxes,8.7,Candidasa
Ossotel Legian,2045188,934184,Inclusive of taxes,8.9,Legian
Easton Kuta,583334,175000,Inclusive of taxes,7.9,Tuban
Kak Garden Inn,340000,187000,Inclusive of taxes,8.7,Badung
Visual Inn,220313,165235,Inclusive of taxes,9.3,Nusa Penida
The Kanjeng Hotel Kuta,269304,218136,Inclusive of taxes,5.6,Badung
Restu Bali Hotel,141067,105800,Inclusive of taxes,8.4,Legian
The Alley City Hotel,320000,240000,Inclusive of taxes,8.3,Sanur
Dhyana Pura City Hotel,315000,163800,Inclusive of taxes,8.3,Mengwi
The Bale Villas Nusa Dua,8419500,5893650,Inclusive of taxes,8.5,Nusa Dua Beach
Wide Sands Beach Retreat,1340000,710200,Inclusive of taxes,8.6,Mendoyo
Avisara Villa And Guesthouse,965988,434695,Inclusive of taxes,8.8,Nusa Dua
Awatara Boutique Resort,985765,542171,Inclusive of taxes,,Kedewatan
Matahari House,450000,202500,Inclusive of taxes,8.2,Badung
Sebrang Hill Bungalow,300000,225000,Inclusive of taxes,9.3,Nusa Penida
OYO 91204 Napura Homestay,216310,168722,Inclusive of taxes,8.2,West Denpasar
Hidden Hills Villas,11052903,8289677,Inclusive of taxes,9.0,Pecatu
Hotel Gran Surya,549019,411764,Inclusive of taxes,8.3,Seririt
The Carik Bisma Ubud,810000,437400,Inclusive of taxes,,Monkey Forest
The Haere â By Astadala,2700000,1890000,Inclusive of taxes,8.2,Seminyak
Rama Residence Padma,3057933,1333801,Inclusive of taxes,8.9,Legian
Batukaru Garden 5 Bali Sevilla Residence,253200,189900,Inclusive of taxes,8.9,Canggu
Grandmas Plus Hotel Airport,3555555,1564444,Inclusive of taxes,8.8,Tuban
Nirwana Beach & Resort,2208960,1656720,Inclusive of taxes,8.7,Candidasa
Villa Essence Seminyak,5066667,3800000,Inclusive of taxes,,Seminyak
Ila Villa Ubud,696667,522500,Inclusive of taxes,8.6,Ubud
Cozy Residence Wedasari Bali,202400,101200,Inclusive of taxes,8.0,West Denpasar
OYO 2280 Wisma Guntur Ii,139949,109160,Inclusive of taxes,8.2,East Denpasar
Febri's Hotel & Spa,795340,596505,Inclusive of taxes,8.8,Badung
OYO 1489 Simona Hotel,222756,140336,Inclusive of taxes,6.9,Canggu
Hotel Vila Lumbung,1170000,924300,Inclusive of taxes,8.1,Seminyak
Villa Mandi Ubud,1745000,325093,Inclusive of taxes,8.3,Ubud
Grand Asahan House,202667,152000,Inclusive of taxes,8.3,West Denpasar
Taman Surgawi Resort & Spa,780000,585000,Inclusive of taxes,8.8,Amlapura
Hotel Gianyar,190000,142500,Inclusive of taxes,8.0,Gianyar Kota
Swahita Ubud,1339255,1049999,Inclusive of taxes,8.8,Ubud
Bali Summer Hotel,560461,253126,Inclusive of taxes,7.7,Badung
Amalfi Hotel Seminyak,824367,667737,Inclusive of taxes,8.6,Seminyak
OYO 1433 Homestay Rumahku,353844,222922,Inclusive of taxes,7.8,Badung
Taman Ayu 212,411667,308750,Inclusive of taxes,8.6,Denpasar
Cattleya Pool Suite - Seminyak by Marbella,1235000,926250,Inclusive of taxes,8.4,Seminyak
Sea Terras Suite And Luxury,1305000,717750,Inclusive of taxes,8.7,Nusa Penida
Legian Paradiso Hotel,619230,393335,Inclusive of taxes,8.0,Legian
Jayâs Villa Umalas,1800000,936000,Inclusive of taxes,8.2,Umalas
"Alam Ubud Culture, Environment Villas & Residences",3600000,1260000,Inclusive of taxes,8.6,Tegallalang
Suites by Watermark Hotel and Spa,3070010,1535005,Inclusive of taxes,9.0,Jimbaran
Hotel Mahajaya,241190,209835,Inclusive of taxes,7.7,North Denpasar
OYO 90690 Pondok Dukuh,126922,98999,Inclusive of taxes,,Nusa Dua
OYO 1051 De Loran Hotel,540573,421647,Inclusive of taxes,8.5,Seririt
Jimbarwana Hotel,696667,522500,Inclusive of taxes,,Negara
The Aromas of Bali Hotel & Residence,434380,360000,Inclusive of taxes,7.6,Legian
Visesa Ubud Resort,3904251,2329251,Inclusive of taxes,8.9,Ubud
Nusabay Menjangan WHM,3572346,1250321,Inclusive of taxes,9.3,Menjangan
Arana Suite,2329200,1164600,Inclusive of taxes,9.0,Legian
Dea Graha,226667,170000,Inclusive of taxes,8.1,Denpasar
Taman Dharmawangsa Suites,3178058,1645000,Inclusive of taxes,,Nusa Dua
Jani's Place Cottage,2024000,769120,Inclusive of taxes,8.9,Monkey Forest
Taksu Nusa Dua Guest House,300000,225000,Inclusive of taxes,8.3,Nusa Dua Beach
OYO 1848 TB'S Homestay,298959,188344,Inclusive of taxes,7.8,Sanur
OYO 3975 Gita Inn,220081,138651,Inclusive of taxes,7.4,North Denpasar
diAtas by Art Cafe Bumbu Bali,733332,549999,Inclusive of taxes,8.2,Nusa Dua
Askara Villa,1805000,1660600,Inclusive of taxes,,Canggu
My Home @ Bali by Conary,294000,220500,Inclusive of taxes,8.4,Badung
OYO 3156 Hotel Warta Dua,197997,98999,Inclusive of taxes,7.5,North Denpasar
Nugraha Lovina Seaview Resort and Spa,1852500,1204125,Inclusive of taxes,8.8,Lovina
Rijasa Agung Resort & Villas,1766667,1325000,Inclusive of taxes,8.8,Payangan
Collection O 91125 Puri Dewa Bharata,251674,158555,Inclusive of taxes,7.0,Jimbaran
Kori Maharani Villas,906572,622404,Inclusive of taxes,8.3,Gianyar Kota
The Seiryu Boutique Villas,4636979,3755953,Inclusive of taxes,8.8,Seminyak
The Bali Dream Villa Canggu - CHSE Certified,5146819,3465001,Inclusive of taxes,,Canggu
Balam Bali Villa,628101,389423,Inclusive of taxes,8.9,Mengwi
SPOT ON 2426 Hotel Aget Jaya Ii,124137,96827,Inclusive of taxes,7.4,Denpasar
Kimono Hotel,337500,168750,Inclusive of taxes,7.1,Badung
Agata Villas,9161796,3226541,Inclusive of taxes,7.3,Seminyak
Puri Bali Lovina,753333,565000,Inclusive of taxes,8.5,Lovina
Vije Boutique Resort and Spa,1900000,1235000,Inclusive of taxes,8.8,Ubud
Kejora Suites,2580000,1935000,Inclusive of taxes,7.4,Sanur
Villa Kumuda By Nakula,4640625,3712500,Inclusive of taxes,,Canggu
Sumberkima Hill Private Villa Retreat,931231,852911,Inclusive of taxes,8.7,Menjangan
Core Hotel Benoa,631800,385398,Inclusive of taxes,8.5,Tanjung Benoa
Hotel Segara Mandala,337500,303750,Inclusive of taxes,7.7,Negara
Puri Payogan Resort,697500,453375,Inclusive of taxes,,Kedewatan
Umasari Rice Terrace Villa,573499,393673,Inclusive of taxes,8.8,Marga
Mimpi Resort Menjangan,1290372,885764,Inclusive of taxes,8.6,Menjangan
Bali Paradise City Hotel,720000,266400,Inclusive of taxes,7.6,Kerobokan
Asher Bali Transit,353333,265000,Inclusive of taxes,7.3,Tuban
Bali Caps Hostel,146667,110000,Inclusive of taxes,9.0,Badung
Container Smart Stay,589734,365635,Inclusive of taxes,,Bedugul
Seminyak Square Hotel,1652000,1156400,Inclusive of taxes,8.5,Seminyak
De Umah Bali - Eco Tradi Home,1320000,990000,Inclusive of taxes,,Tembuku
Trivara Kuta,380000,285000,Inclusive of taxes,8.7,Tuban
Canggu Village,1999999,1499999,Inclusive of taxes,8.9,Canggu
"Kuta Puri Bungalows, Villas and Resort",2520000,1764000,Inclusive of taxes,8.8,Poppies
Arkamara Dijiwa Ubud,6792831,5094623,Inclusive of taxes,8.9,Ubud
Munduk Heaven Luxury Villas,13086250,7851750,Inclusive of taxes,9.3,Munduk
Ubud Lestari Villa,1198471,715000,Inclusive of taxes,8.8,Ubud
Ubud Village Hotel,1696651,1164616,Inclusive of taxes,8.8,Monkey Forest
Lumbini Luxury Villas and Spa,2747965,1886350,Inclusive of taxes,8.8,Jimbaran
Hotel Puriartha Ubud,749999,389999,Inclusive of taxes,8.4,Ubud
Pondok Sari Hotel,675000,236250,Inclusive of taxes,8.5,Badung
Canggu Dream Village,3150900,1575450,Inclusive of taxes,8.4,Canggu
Taman Tirta Ayu Pool & Mansion,405000,263250,Inclusive of taxes,7.9,Tuban
The Sarining Hotel,701756,526317,Inclusive of taxes,,Tabanan Kota
OYO 90547 Pondok Saren Anyar,131141,82619,Inclusive of taxes,7.4,Mengwi
Matahari Guest House,200000,170000,Inclusive of taxes,8.1,West Denpasar
Ubud Raya Villa,2250000,1575000,Inclusive of taxes,9.0,Sayan
Three Brothers Guest House,333334,250000,Inclusive of taxes,9.2,Ubud
Akana Boutique Hotel,1593568,824849,Inclusive of taxes,8.7,Sanur
Meruhdani Boutique Hotel Ubud,719040,539280,Inclusive of taxes,8.9,Ubud
Hotel Melamun Lovina,562500,495000,Inclusive of taxes,8.9,Lovina
Sanur Seaview Hotel,662400,384192,Inclusive of taxes,7.7,Sanur
Melia Bali The Garden Villas (ex Melia Bali Villas and Spa Resort),2963027,2033977,Inclusive of taxes,,Nusa Dua Beach
The Mel Homestay,134400,100800,Inclusive of taxes,9.0,Nusa Penida
The Galuh Pekutatan,458333,334583,Inclusive of taxes,8.8,Pekutatan
Villa Ley Double Six by Best Deals Asia Hospitality,7375000,2950000,Inclusive of taxes,,Legian
Samudra Boutique Hotel and Villa,240964,180723,Inclusive of taxes,8.0,Badung
Sun Island Hotel & Spa Legian,1639800,918288,Inclusive of taxes,8.5,Legian
Star Semabu Resort,729000,444690,Inclusive of taxes,8.5,Nusa Penida
OYO 2580 Hotel Puri Royan,307014,153507,Inclusive of taxes,7.4,West Denpasar
Jasmine Inn Nusa Penida,226667,170000,Inclusive of taxes,8.6,Nusa Penida
The Kryamaha Villas,2903987,1732499,Inclusive of taxes,8.8,Tanah Lot
Bubble Hotel Bali Ubud,28899948,21674961,Inclusive of taxes,7.9,Tampaksiring
Jasmine Inn Nusa Penida,226667,170000,Inclusive of taxes,8.6,Nusa Penida
The Kryamaha Villas,2903987,1732499,Inclusive of taxes,8.8,Tanah Lot
The Dukuh Retreat,1080000,540000,Inclusive of taxes,9.7,Kerambitan
Pondok Dukuh Jati,200000,150000,Inclusive of taxes,8.2,Badung
The Kanjeng Hotel Kuta,1263157,315789,Inclusive of taxes,7.2,Tuban
Hotel Komune and Beach Club Bali,2509058,1722319,Inclusive of taxes,8.4,Keramas
Villas at The Patra Bali Resort & Villas - CHSE Certified,4514049,2200000,Inclusive of taxes,,Badung
The Sesari Jimbaran,367200,275400,Inclusive of taxes,8.2,Jimbaran
OYO 90576 St Tama,258762,129381,Inclusive of taxes,8.7,Nusa Dua
Uma Mani Villa,600000,450000,Inclusive of taxes,8.6,Jimbaran
The Lokha Legian Resort & Spa,1645600,658240,Inclusive of taxes,8.6,Legian
Bayside Residence,2399999,1799999,Inclusive of taxes,,Candidasa
Arimba at Bisma,585000,409500,Inclusive of taxes,7.9,Ubud
Hotel Oranjje,417083,212712,Inclusive of taxes,7.6,Denpasar
Waterside Inn Nusa Penida,361613,331200,Inclusive of taxes,7.6,Nusa Penida
Alam Candi Dive Resort,840000,630000,Inclusive of taxes,8.6,Candidasa
Casa Padma Suites Bali,1329975,731486,Inclusive of taxes,8.2,Legian
Wahyu Dana Hotel,420000,315000,Inclusive of taxes,8.2,Lovina
Prasi Sunset Bungalows,475000,332500,Inclusive of taxes,8.9,Nusa Penida
Disini Villa,4468461,3067368,Inclusive of taxes,,Seminyak
Radha homestay,420000,315000,Inclusive of taxes,,Sanur
Putu Guest House 2,735856,576924,Inclusive of taxes,8.5,Canggu
Sativa Sanur Cottages,840000,630000,Inclusive of taxes,8.0,Sanur
Grand Pondok Puri Ayu,320000,208000,Inclusive of taxes,8.0,West Denpasar
Hotel Karthi,266333,199750,Inclusive of taxes,8.4,Badung
The Kasih Villas & Spa,3141763,2544828,Inclusive of taxes,8.8,Seminyak
Mason Elephant Lodge,2514264,2106000,Inclusive of taxes,8.1,Taro
Bali Jungle Camping,1320000,990000,Inclusive of taxes,,Pupuan
Annora Villas Sanur,5318774,3173146,Inclusive of taxes,9.2,Sanur
Pertiwi Resorts And Spa,990000,594000,Inclusive of taxes,8.5,Monkey Forest
Hana Kuta Beach,405000,303750,Inclusive of taxes,8.4,Badung
Kampung 168 Jimbaran,637192,312224,Inclusive of taxes,8.2,Jimbaran
Anantara Seminyak Resort & Spa,7850765,5888074,Inclusive of taxes,8.3,Seminyak
Dewi Sinta Hotel and Restaurant by Wizzela,430312,301218,Inclusive of taxes,8.4,Tanah Lot
Puspa Graha Villatel,337500,253125,Inclusive of taxes,8.3,Jimbaran
New Garden View Resort,438518,355200,Inclusive of taxes,8.3,Legian
Cross Bali Breakers,4432612,3324459,Inclusive of taxes,,Jimbaran
Villa Bebek Cottages Sanur,1020000,765000,Inclusive of taxes,9.4,Sanur
Ozora Tiying Tutul Hostel @Canggu,120000,90000,Inclusive of taxes,8.1,Canggu
Samsara Homestay,237039,177779,Inclusive of taxes,9.2,Kintamani
Ozora Tiying Tutul Hostel @Canggu,120000,90000,Inclusive of taxes,8.1,Canggu
Samsara Homestay,237039,177779,Inclusive of taxes,9.2,Kintamani
Legian Village Hotel,918915,339999,Inclusive of taxes,7.6,Legian
Ecosfera Hotel,1240001,930001,Inclusive of taxes,8.2,Canggu
Pelangi Bali Hotel & Spa,3300000,2475000,Inclusive of taxes,8.1,Seminyak
Prasana by Arjani Resorts - Uluwatu,6742880,4382872,Inclusive of taxes,8.2,Ungasan
Holistic Villa by Holistic group,998667,749000,Inclusive of taxes,,Nusa Dua
Legian Bisma Suite,407333,305500,Inclusive of taxes,8.7,Legian
Rai House Sanur,240000,192000,Inclusive of taxes,8.7,Sanur
D'Tunjung Resort & Spa,380000,285000,Inclusive of taxes,8.4,Candidasa
Suryadina Guest House,380000,285000,Inclusive of taxes,8.6,Ubud
Batur Mountain View,666665,499999,Inclusive of taxes,7.7,Kintamani
Suarapura Resort & Spa,2400000,1800000,Inclusive of taxes,9.3,Sebatu
Ubud Nyuh Bali Resort & Spa,6786847,3715876,Inclusive of taxes,8.9,Ubud
The Wolas Villas & Spa,4971285,2237078,Inclusive of taxes,8.8,Seminyak
WakAsih,200000,150000,Inclusive of taxes,8.0,Semarapura Kelod
The Swaha Hotel,623297,311649,Inclusive of taxes,8.7,Batubulan
AQ-VA Hotel & Villas,953841,614998,Inclusive of taxes,8.6,Legian
OYO 90022 Puri Kramas Canggu,382418,240923,Inclusive of taxes,8.1,Canggu
Villa Ombak Kedungu,400000,300000,Inclusive of taxes,8.5,Tanah Lot
Amatara Arya Ubud,1662001,1090583,Inclusive of taxes,9.1,Ubud
Kupu Kupu Barong Villas and Tree Spa by LâOCCITANE,5086518,4069214,Inclusive of taxes,8.4,Kedewatan
Sanur Guest House,339999,254999,Inclusive of taxes,7.9,Sanur
Kubu Cempaka Seminyak,2029999,1522499,Inclusive of taxes,8.9,Seminyak
Kenran Resort Ubud by Soscomma,60980499,49394204,Inclusive of taxes,8.6,Tegallalang
Sanur Guest House,339999,254999,Inclusive of taxes,7.9,Sanur
Alam Puisi Villa,2514600,1005840,Inclusive of taxes,8.7,Tampaksiring
Segara Hotel and Restaurant Kintamani,440000,330000,Inclusive of taxes,8.0,Kintamani
The Garuda Villa and Restaurant,521333,391000,Inclusive of taxes,8.4,Bedugul
Honai Resort,5200000,1144000,Inclusive of taxes,8.8,Ubud
Abi Bali Resort Villas and Spa,3432800,1716400,Inclusive of taxes,8.5,Jimbaran
Beluran Serene Guesthouse,399999,299999,Inclusive of taxes,8.6,Kerambitan
Uma Emas Residence,225904,180723,Inclusive of taxes,7.4,Sanur
Kubu Indah Dive & Spa Resort,1095220,706154,Inclusive of taxes,,Tulamben
Plataran Menjangan Resort and Spa,4356000,3267000,Inclusive of taxes,8.9,Menjangan
The Wina Villa Canggu,5400000,4050000,Inclusive of taxes,8.7,Canggu
The Nyaman Bali,532000,399000,Inclusive of taxes,8.7,Badung
Puri Surya Hotel,368000,276000,Inclusive of taxes,7.6,Seririt
Harmony Beach Suite,1125000,843750,Inclusive of taxes,8.0,Seminyak
Aneka Lovina Villas & Spa,978750,636188,Inclusive of taxes,8.5,Lovina
Ultimate Residence Bali,556000,254092,Inclusive of taxes,,Denpasar
Wapa di Ume Resort & Spa,4230000,2453400,Inclusive of taxes,9.0,Ubud
Alam Pangkung Ubud,450000,328500,Inclusive of taxes,8.0,Ubud
Manyi Village Ubud,765000,573750,Inclusive of taxes,8.9,Tampaksiring
Jukung Guest House,450000,337500,Inclusive of taxes,8.9,Sanur
Kelan-Tel Bali,630000,302400,Inclusive of taxes,7.9,Tuban
Berlian Inn,305267,228950,Inclusive of taxes,8.2,Poppies
ROYAL RETREAT VILLAS LEMBONGAN,600000,450000,Inclusive of taxes,,Nusa Lembongan
Batan Sabo Cottage,1200000,900000,Inclusive of taxes,8.7,Nusa Penida
NEW Alron Hotel Kuta,424284,296999,Inclusive of taxes,8.4,Badung
La Roja Bungalows Penida,1078800,809100,Inclusive of taxes,8.9,Nusa Penida
Sari Bamboo Villas,3316500,2984850,Inclusive of taxes,8.5,Sayan
The Kirana Ungasan,1368745,803249,Inclusive of taxes,8.8,Jimbaran
Ubud Tropical,168000,126000,Inclusive of taxes,8.7,Ubud
Lahar Mas Inn,171000,128250,Inclusive of taxes,7.5,Amlapura
Papa Sun Villas,900000,720000,Inclusive of taxes,9.3,Nusa Penida
Nomad Hub Villa Bali,450000,292500,Inclusive of taxes,7.9,Umalas
OYO 2270 Hotel Taman Wirama,186181,117294,Inclusive of taxes,7.8,North Denpasar
Bali Kuwi Hotel,235293,176470,Inclusive of taxes,8.3,Negara
Radha Phala Resort & Spa,1516500,909900,Inclusive of taxes,8.9,Ubud
"Grand Sehati Hotel & Spa, Ubud",900000,675000,Inclusive of taxes,8.1,Monkey Forest
De Lemon Gatsu Hotel,400000,200000,Inclusive of taxes,8.2,North Denpasar
Rena Segara House,310644,192599,Inclusive of taxes,8.1,Badung
Tanjung Sari Inn,447059,335294,Inclusive of taxes,8.1,Tanjung Benoa
OYO 3244 Grand Chandra Hotel,139998,109198,Inclusive of taxes,7.1,West Denpasar
Nirmala Hotel Denpasar,566720,311696,Inclusive of taxes,7.4,West Denpasar
Desamuda Village,2241000,1456650,Inclusive of taxes,8.9,Seminyak
Bali Palms Resort Candidasa,1575000,787500,Inclusive of taxes,8.5,Candidasa
The Pavilion Hotel Kuta,306000,275400,Inclusive of taxes,8.4,Badung
Villa Mandi Resort & Spa,5670000,850500,Inclusive of taxes,,Ubud
THE VILLAGE HOME,468000,421200,Inclusive of taxes,8.7,Sanur
Nakula Guest House,270000,202500,Inclusive of taxes,8.6,Badung
Sanur Agung Suite,617500,333450,Inclusive of taxes,,Sanur
OYO 90053 Paradise Inn,209960,163769,Inclusive of taxes,8.7,Legian
The Kayon Resort,5040000,3528000,Inclusive of taxes,9.1,Tegallalang
The Studio Inn Nusa Dua,540000,405000,Inclusive of taxes,8.0,Nusa Dua
OYO 1356 Gusti Residence,139431,108756,Inclusive of taxes,8.4,Mengwi
Wayan Mansion,264000,198000,Inclusive of taxes,8.5,Denpasar
Linas Villas Nusa Penida,382500,229500,Inclusive of taxes,9.3,Nusa Penida
Villa Tangtu Beach Inn,1260000,315000,Inclusive of taxes,7.7,Sanur
The Baladewa,306000,149940,Inclusive of taxes,7.7,Ungasan
Puri Taman Sari Resort,937500,759375,Inclusive of taxes,8.4,Marga
Aurora House Ubud,254032,127016,Inclusive of taxes,8.2,Ubud
The Unique Homestay,203251,152438,Inclusive of taxes,8.5,Ubud
Poh Manis Lembongan,801000,400500,Inclusive of taxes,8.6,Nusa Lembongan
Dukuh Sebatu Villa,733332,549999,Inclusive of taxes,8.6,Sebatu
Adhi Jaya Suite,747040,321227,Inclusive of taxes,8.0,Jatiluwih
Nakula Stay Kuta,500000,215000,Inclusive of taxes,8.5,Legian
Hikers Camp at Toya Devasya,939255,649999,Inclusive of taxes,8.0,Kintamani
GM Hotel Lovina,585424,313553,Inclusive of taxes,8.5,Singaraja
OYO 3716 Dijobi,473704,369489,Inclusive of taxes,8.4,Mengwi
Padi Bali Eco Villas,894300,670725,Inclusive of taxes,8.5,Tegallalang
Jati Hotel Negara,159600,119700,Inclusive of taxes,8.2,Negara
Bali Chaya Hotel,531863,445499,Inclusive of taxes,8.5,Legian
The Tunjung Boutique Resort,466667,350000,Inclusive of taxes,,Canggu
Bali Bhuana Beach Cottage,486982,424999,Inclusive of taxes,9.0,Amed
OYO 2984 Berlian House Ungasan,264902,166888,Inclusive of taxes,7.8,Ungasan
OYO 2456 Purnama House Kuta,372490,234669,Inclusive of taxes,8.8,Tuban
The Mutiara Jimbaran Boutique Villas,4215671,2107836,Inclusive of taxes,8.6,Jimbaran
Hotel Ratu,310000,232500,Inclusive of taxes,7.8,Negara
Bali Dive Resort and Spa,1232315,910001,Inclusive of taxes,8.9,Tulamben
Puri Dajuma Beach Eco Resort & Spa,5136208,3081725,Inclusive of taxes,,Pekutatan
VIDI Boutique Hotel,741000,518700,Inclusive of taxes,8.8,Jimbaran
OYO 90363 Nira Guest House Sanur Bali,119242,93009,Inclusive of taxes,7.0,Denpasar
Bali Breezz Hotel,1140000,855000,Inclusive of taxes,8.8,Jimbaran
Sapta Petala,432429,159999,Inclusive of taxes,8.6,Badung
OYO 1952 Hotel Dewata Indah,299997,149999,Inclusive of taxes,8.2,North Denpasar
Aleesha Villas,3147685,1469999,Inclusive of taxes,8.4,Sanur
Disini Luxury Spa Villas,3777777,3060000,Inclusive of taxes,8.7,Seminyak
Bali Jungle Huts,1521136,907500,Inclusive of taxes,8.6,Sebatu
OYO 1741 Komala Indah Cottages,198146,154554,Inclusive of taxes,6.9,Legian
Maharaja Villas,4873500,1462050,Inclusive of taxes,9.1,Kerobokan
Mahatma Residence,438000,328500,Inclusive of taxes,8.1,Denpasar
Bluehill Resort Tulamben,814090,404999,Inclusive of taxes,8.9,Tulamben
Sindhu Mertha Suite,4250000,3187500,Inclusive of taxes,8.0,Sanur
The Acala Shri Sedana,4533333,3400000,Inclusive of taxes,8.5,Nusa Lembongan
Beraban Beach House,4536000,1134000,Inclusive of taxes,9.2,Selemadeg
Draper Startup House for Entrepreneurs Bali,128000,96000,Inclusive of taxes,8.4,Canggu
Blu-Zea Resort by Double-Six,2442630,1831973,Inclusive of taxes,8.7,Seminyak
Aqua Octaviana Villa,630000,504000,Inclusive of taxes,8.2,Umalas
Royal Casa Ganesha Resort & Spa,1786000,785840,Inclusive of taxes,8.5,Ubud
OYO 90817 Elite Star Tukad Badung,157136,98996,Inclusive of taxes,7.5,Denpasar
Kira Cottages Penida,359100,215460,Inclusive of taxes,9.1,Nusa Penida
Pondok Tepi Sungai,426000,319500,Inclusive of taxes,8.3,Sidemen
Kamajaya Villas,2700000,1620000,Inclusive of taxes,8.9,Sayan
Matahari Bungalow,622618,290768,Inclusive of taxes,8.0,Legian
Familytel Bali,603000,283410,Inclusive of taxes,8.3,Tuban
Abia Villa Legian,3321464,2280023,Inclusive of taxes,9.2,Legian
Nalika Beach Resort & Restaurant,1680000,1260000,Inclusive of taxes,,Umeanyar
OYO 2122 Puri Sanur,259647,202525,Inclusive of taxes,7.8,Sanur
The Hidden Paradise Ubud,4084961,1174062,Inclusive of taxes,8.7,Tampaksiring
OYO 3902 Pondok 828 Residence,258488,162847,Inclusive of taxes,7.4,Denpasar
dedanau Hotel,1933335,1450001,Inclusive of taxes,,Bedugul
Bali Bungalo,689067,516800,Inclusive of taxes,8.0,Badung
Maha Lokha Balangan,846000,507600,Inclusive of taxes,,Jimbaran
Ganggas Homestay,208049,166439,Inclusive of taxes,8.3,Jimbaran
Alengkong Double View,333333,250000,Inclusive of taxes,9.0,Kintamani
Green Field Hotel and Restaurant,1867025,1710000,Inclusive of taxes,8.9,Monkey Forest
Batu Ampar ECO Resort Menjangan,600000,480000,Inclusive of taxes,,Menjangan
Pondok Sebatu Ecolodge,1440000,1008000,Inclusive of taxes,8.9,Sebatu
Teba House Ubud by ecommerceloka,289080,127195,Inclusive of taxes,8.2,Ubud
Bali Seascape Beach Club,1575000,787500,Inclusive of taxes,8.3,Candidasa
Hotel Griya Ayu Inn Sanur,332179,249134,Inclusive of taxes,8.5,Sanur
Puri Mangga Sea View Boutique Resort and Spa,1020311,765233,Inclusive of taxes,,Lovina
Puri Astrani by WizZeLa,1084197,830375,Inclusive of taxes,,Ubud
Villa Puri Cili Ubud,807500,395675,Inclusive of taxes,7.9,Sukawati
