Hotel Name,Original price,Price after discount,Tax,Rating,location,Rating(5)
Hotel Kumala Pantai,Rp 1.457.592,Rp 1.000.585,Inclusive of taxes,8.7,"Legian, Bali",4.35
Klumpu Bali Resort,Rp 2.719.702,Rp 2.254.000,Inclusive of taxes,8.8,"Sanur, Bali",4.4
WK Gamat Garden by WizZeLa,Rp 430.312,Rp 258.187,Inclusive of taxes,8.6,"Nusa Penida, Bali",4.3
Kali Unda Cottage,Rp 400.000,Rp 300.000,Inclusive of taxes,7,"Semarapura Kelod, Bali",3.5
Svarna Hotel Sanur,Rp 420.000,Rp 315.000,Inclusive of taxes,7.6,"Sanur, Bali",3.8
Ubud Padi Villas,Rp 3.872.000,Rp 2.904.000,Inclusive of taxes,9,"Kedewatan, Bali",4.5
OYO 3307 Ayudia Residence,Rp 270.045,Rp 170.128,Inclusive of taxes,8.2,"North Denpasar, Bali",4.1
Jungut Guest House,Rp 259.258,Rp 129.629,Inclusive of taxes,n/a,"Ubud, Bali",#VALUE!
Apple Suite,Rp 978.599,Rp 733.949,Inclusive of taxes,8.1,"Kerobokan, Bali",4.05
Kuta Sari House,Rp 450.000,Rp 202.500,Inclusive of taxes,8.2,"Kuta, Bali",4.1
Serela Kuta by KAGUM Hotels,Rp 355.500,Rp 302.175,Inclusive of taxes,8.3,"Kuta, Bali",4.15
SEAHOUSE BALI INDAH BEACH INN,Rp 450.000,Rp 292.500,Inclusive of taxes,9,"Legian, Bali",4.5
Regali Villas,Rp 4.755.869,Rp 2.269.539,Inclusive of taxes,8.2,"Canggu, Bali",4.1
Argasoka Bungalows,Rp 316.667,Rp 237.500,Inclusive of taxes,8.8,"Monkey Forest, Bali",4.4
Argasoka Bungalows,Rp 316.667,Rp 237.500,Inclusive of taxes,8.8,"Monkey Forest, Bali",4.4
OYO 90714 Umah Pande Tabanan,Rp 126.979,Rp 79.997,Inclusive of taxes,n/a,"Tabanan Kota, Bali",#VALUE!
Kawi Resort By Pramana,Rp 1.056.900,Rp 792.675,Inclusive of taxes,8.7,"Tampaksiring, Bali",4.35
Guesthouse 999,Rp 253.333,Rp 190.000,Inclusive of taxes,8.4,"Kerobokan, Bali",4.2
Villa Ad,Rp 2.533.333,Rp 1.900.000,Inclusive of taxes,n/a,"Ungasan, Bali",#VALUE!
Umah Hijau Tabanan,Rp 238.110,Rp 147.628,Inclusive of taxes,7.7,"Tabanan Kota, Bali",3.85
Vista  Penginapan Tabanan,Rp 368.000,Rp 276.000,Inclusive of taxes,7.5,"Tabanan Kota, Bali",3.75
Puri Karang Besakih,Rp 699.999,Rp 524.999,Inclusive of taxes,8.4,"Besakih, Bali",4.2
The Sintesa Residence Jimbaran,Rp 4.664.901,Rp 1.593.000,Inclusive of taxes,8.1,"Jimbaran, Bali",4.05
Dimpil Homestay,Rp 251.988,Rp 188.991,Inclusive of taxes,8.2,"Pemuteran, Bali",4.1
Jukung Cottage by Pramana Villas,Rp 1.017.830,Rp 814.264,Inclusive of taxes,8.7,"Nusa Penida, Bali",4.35
Sri Phala Resort & Villa,Rp 1.033.975,Rp 703.103,Inclusive of taxes,8.5,"Sanur, Bali",4.25
AL Dewi Sri Villas - Nusa Penida,Rp 450.000,Rp 202.500,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Aashaya Jasri Resort,Rp 1.066.666,Rp 799.999,Inclusive of taxes,n/a,"Amlapura, Bali",#VALUE!
Bumi Ayu Bungalows - CHSE Certified,Rp 565.020,Rp 517.499,Inclusive of taxes,7.6,"Sanur, Bali",3.8
Agung Alit Guest House,Rp 190.000,Rp 142.500,Inclusive of taxes,8.7,"Ubud, Bali",4.35
Sedok Jineng Villa by WizZeLa,Rp 430.312,Rp 236.672,Inclusive of taxes,8.8,"Nusa Lembongan, Bali",4.4
Sri Ratih Ubud,Rp 3.542.232,Rp 2.351.250,Inclusive of taxes,9.5,"Sayan, Bali",4.75
L'amore Hotel Seminyak,Rp 666.665,Rp 499.999,Inclusive of taxes,8.3,"West Denpasar, Bali",4.15
New Asta Graha,Rp 380.000,Rp 152.000,Inclusive of taxes,8.4,"Jimbaran, Bali",4.2
PP Dream Guesthouse,Rp 340.000,Rp 255.000,Inclusive of taxes,n/a,"Singaraja, Bali",#VALUE!
Keramas Sacred River Village,Rp 742.500,Rp 631.125,Inclusive of taxes,8.9,"Keramas, Bali",4.45
Hotel Puri Bali,Rp 246.667,Rp 185.000,Inclusive of taxes,n/a,"Mendoyo, Bali",#VALUE!
Sang Tirta Farm Living Resort,Rp 506.667,Rp 380.000,Inclusive of taxes,8.8,"Penebel, Bali",4.4
Kusuma House,Rp 200.933,Rp 150.700,Inclusive of taxes,8,"Kuta, Bali",4
Indigo Blue Ceningan,Rp 1.066.667,Rp 800.000,Inclusive of taxes,n/a,"Nusa Ceningan, Bali",#VALUE!
Muaya Villa,Rp 1.200.000,Rp 900.000,Inclusive of taxes,8.7,"Jimbaran, Bali",4.35
The Legian 777,Rp 194.793,Rp 170.000,Inclusive of taxes,7.4,"Legian, Bali",3.7
Gaing Mas Residence by Gaing Mas Group,Rp 503.885,Rp 236.826,Inclusive of taxes,n/a,"Jimbaran, Bali",#VALUE!
City Garden Bali Dwipa Hotel,Rp 361.932,Rp 224.760,Inclusive of taxes,8.6,"Legian, Bali",4.3
Chillhouse Lembongan Homestay,Rp 220.002,Rp 165.001,Inclusive of taxes,9.2,"Nusa Lembongan, Bali",4.6
Cempaka Losmen,Rp 160.000,Rp 120.000,Inclusive of taxes,7.3,"Legian, Bali",3.65
Maha Rama Suite Amed,Rp 765.000,Rp 382.500,Inclusive of taxes,8,"Amed, Bali",4
Simona Hotel Canggu,Rp 197.089,Rp 145.540,Inclusive of taxes,6.2,"Canggu, Bali",3.1
Kahayana Suites,Rp 1.157.000,Rp 462.800,Inclusive of taxes,8.7,"Ubud, Bali",4.35
Villa JJ and Spa Ubud,Rp 530.909,Rp 440.000,Inclusive of taxes,8.8,"Ubud, Bali",4.4
Sahaja Sawah Resort,Rp 2.261.000,Rp 1.695.750,Inclusive of taxes,n/a,"Selemadeg, Bali",#VALUE!
Ubud Glassy Villas by Pramana Villas,Rp 1.186.823,Rp 890.117,Inclusive of taxes,8.8,"Ubud, Bali",4.4
Kubu Benoa Guest House,Rp 600.000,Rp 450.000,Inclusive of taxes,9.6,"Tanjung Benoa, Bali",4.8
Bagus Agro Pelaga,Rp 2.079.000,Rp 1.559.250,Inclusive of taxes,8.7,"Plaga, Bali",4.35
Bali Royal Heritage Villas,Rp 900.000,Rp 540.000,Inclusive of taxes,n/a,"Seminyak, Bali",#VALUE!
The Kutaya Guest House,Rp 312.862,Rp 286.013,Inclusive of taxes,8.2,"Kuta, Bali",4.1
Rama Beach Resort & Villas,Rp 3.297.619,Rp 2.263.620,Inclusive of taxes,8.6,"Kuta, Bali",4.3
Agung View Villa,Rp 850.000,Rp 552.500,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Ubud 18,Rp 240.000,Rp 180.000,Inclusive of taxes,8,"Ubud, Bali",4
Taman Agung Hotel,Rp 926.922,Rp 507.501,Inclusive of taxes,8.4,"Sanur, Bali",4.2
Soraya Apartment,Rp 466.667,Rp 350.000,Inclusive of taxes,8.3,"Seminyak, Bali",4.15
OYO 1762 Hotel Astiti Graha Tanah Lot,Rp 179.485,Rp 139.998,Inclusive of taxes,7,"Tanah Lot, Bali",3.5
Jangkrik Homestay,Rp 226.667,Rp 170.000,Inclusive of taxes,8.5,"Ubud, Bali",4.25
Rahayu Guest House Ubud,Rp 215.648,Rp 174.675,Inclusive of taxes,9.2,"Ubud, Bali",4.6
Hotel Satriya Cottages,Rp 950.482,Rp 762.300,Inclusive of taxes,8.7,"Poppies, Bali",4.35
Ode Hostel,Rp 63.333,Rp 47.500,Inclusive of taxes,8.4,"Monkey Forest, Bali",4.2
Bunut Garden Luxury Private Villa - CHSE Certified,Rp 1.768.760,Rp 1.620.000,Inclusive of taxes,8.8,"Kedewatan, Bali",4.4
Tamarind Beach Bungalow Lembongan,Rp 540.000,Rp 405.000,Inclusive of taxes,7.9,"Nusa Lembongan, Bali",3.95
Dukuh Village Villas,Rp 730.800,Rp 548.100,Inclusive of taxes,8.8,"Tegallalang, Bali",4.4
The Village of Angels,Rp 2.141.810,Rp 1.581.616,Inclusive of taxes,n/a,"Candidasa, Bali",#VALUE!
Laguna Reef Hut Lembongan,Rp 570.000,Rp 456.000,Inclusive of taxes,8.8,"Nusa Lembongan, Bali",4.4
Tropical Garden Inn,Rp 239.868,Rp 179.901,Inclusive of taxes,n/a,"Nusa Penida, Bali",#VALUE!
Hotel Segara Agung,Rp 906.300,Rp 561.906,Inclusive of taxes,n/a,"Sanur, Bali",#VALUE!
Oki Taru Residence,Rp 500.000,Rp 300.000,Inclusive of taxes,n/a,"Tuban, Bali",#VALUE!
Hotel Singasari Seririt,Rp 156.877,Rp 117.658,Inclusive of taxes,8.3,"Seririt, Bali",4.15
Annapurna River View Villas,Rp 2.933.334,Rp 2.200.000,Inclusive of taxes,n/a,"Mengwi, Bali",#VALUE!
Malibu Huts Nusa Penida,Rp 780.000,Rp 585.000,Inclusive of taxes,9,"Nusa Penida, Bali",4.5
Champlung Sari Hotel Ubud,Rp 1.390.400,Rp 695.200,Inclusive of taxes,8.3,"Monkey Forest, Bali",4.15
Valomia Guesthouse,Rp 204.705,Rp 153.529,Inclusive of taxes,8.2,"West Denpasar, Bali",4.1
Cameng Homestay,Rp 466.668,Rp 350.001,Inclusive of taxes,n/a,"Sanur, Bali",#VALUE!
